(1,42,539),
(2,13,689),
(3,20,621),
(4,30,518),
(5,13,332),
(6,32,341),
(7,4,325),
(8,37,545),
(9,19,364),
(10,47,432),
(11,19,620),
(12,10,423),
(13,15,454),
(14,35,505),
(15,28,613),
(16,32,537),
(17,6,644),
(18,29,513),
(19,25,644),
(20,41,410),
(21,42,409),
(22,14,373),
(23,35,638),
(24,3,607),
(25,34,486),
(26,25,595),
(27,15,383),
(28,4,313),
(29,4,496),
(30,33,617),
(31,36,368),
(32,36,553),
(33,8,626),
(34,38,483),
(35,3,476),
(36,26,405),
(37,10,328),
(38,29,357),
(39,32,645),
(40,33,587),
(41,3,524),
(42,25,460),
(43,16,664),
(44,44,700),
(45,49,576),
(46,35,554),
(47,12,481),
(48,44,545),
(49,19,564),
(50,37,686),
(51,47,568),
(52,29,336),
(53,3,652),
(54,15,301),
(55,50,483),
(56,25,663),
(57,18,562),
(58,38,330),
(59,26,677),
(60,42,575),
(61,48,657),
(62,10,417),
(63,39,613),
(64,14,676),
(65,12,566),
(66,21,526),
(67,42,396),
(68,23,515),
(69,27,555),
(70,26,426),
(71,15,521),
(72,29,640),
(73,5,570),
(74,50,533),
(75,50,330),
(76,17,463),
(77,42,394),
(78,35,682),
(79,35,607),
(80,13,439),
(81,17,309),
(82,43,334),
(83,15,581),
(84,9,503),
(85,24,540),
(86,9,595),
(87,35,662),
(88,24,377),
(89,41,356),
(90,21,530),
(91,23,622),
(92,47,587),
(93,29,631),
(94,9,660),
(95,19,550),
(96,37,571),
(97,24,322),
(98,49,571),
(99,31,515),
(100,47,305),
(101,45,341),
(102,48,501),
(103,26,560),
(104,27,545),
(105,37,471),
(106,27,589),
(107,40,479),
(108,5,315),
(109,44,411),
(110,49,477),
(111,37,624),
(112,49,587),
(113,30,628),
(114,6,374),
(115,12,340),
(116,9,558),
(117,30,604),
(118,50,436),
(119,18,532),
(120,22,391),
(121,8,533),
(122,48,409),
(123,6,427),
(124,15,484),
(125,5,343),
(126,26,393),
(127,17,626),
(128,41,662),
(129,42,322),
(130,15,512),
(131,10,402),
(132,18,336),
(133,31,353),
(134,17,335),
(135,35,532),
(136,37,562),
(137,25,536),
(138,10,538),
(139,49,682),
(140,1,356),
(141,44,380),
(142,25,439),
(143,47,480),
(144,24,373),
(145,7,661),
(146,24,668),
(147,43,537),
(148,24,620),
(149,35,562),
(150,3,630),
(151,22,436),
(152,5,549),
(153,9,353),
(154,16,622),
(155,18,571),
(156,33,476),
(157,15,490),
(158,34,418),
(159,36,590),
(160,35,689),
(161,6,491),
(162,8,430),
(163,44,360),
(164,47,324),
(165,11,587),
(166,38,599),
(167,17,333),
(168,21,587),
(169,12,375),
(170,21,682),
(171,13,482),
(172,46,342),
(173,15,576),
(174,33,526),
(175,28,460),
(176,6,371),
(177,47,386),
(178,32,479),
(179,44,680),
(180,18,325),
(181,37,462),
(182,2,694),
(183,17,598),
(184,39,689),
(185,42,304),
(186,42,667),
(187,12,670),
(188,1,565),
(189,21,399),
(190,16,529),
(191,44,506),
(192,26,663),
(193,46,552),
(194,45,553),
(195,44,304),
(196,36,557),
(197,40,439),
(198,9,452),
(199,25,577),
(200,38,412),
(201,27,459),
(202,23,664),
(203,41,626),
(204,15,504),
(205,20,476),
(206,39,359),
(207,23,494),
(208,2,546),
(209,36,637),
(210,15,349),
(211,31,636),
(212,43,405),
(213,20,396),
(214,24,423),
(215,10,495),
(216,2,637),
(217,28,582),
(218,42,450),
(219,24,612),
(220,15,338),
(221,37,387),
(222,14,663),
(223,5,418),
(224,49,419),
(225,9,413),
(226,5,484),
(227,40,489),
(228,12,377),
(229,48,342),
(230,24,595),
(231,25,576),
(232,3,648),
(233,19,424),
(234,22,632),
(235,38,637),
(236,16,348),
(237,36,627),
(238,47,660),
(239,47,578),
(240,32,397),
(241,20,479),
(242,19,310),
(243,42,610),
(244,39,331),
(245,49,520),
(246,38,509),
(247,32,376),
(248,42,612),
(249,27,664),
(250,2,436),
(251,17,519),
(252,10,389),
(253,22,420),
(254,2,342),
(255,27,522),
(256,44,405),
(257,33,694),
(258,30,426),
(259,21,543),
(260,16,493),
(261,46,490),
(262,29,327),
(263,19,323),
(264,34,412),
(265,2,403),
(266,10,655),
(267,44,648),
(268,21,362),
(269,23,457),
(270,6,454),
(271,26,584),
(272,17,385),
(273,4,481),
(274,4,605),
(275,44,476),
(276,3,564),
(277,20,609),
(278,13,425),
(279,44,368),
(280,1,635),
(281,13,385),
(282,47,644),
(283,18,434),
(284,26,504),
(285,13,592),
(286,8,454),
(287,5,519),
(288,11,341),
(289,11,414),
(290,29,411),
(291,14,599),
(292,41,598),
(293,23,456),
(294,43,347),
(295,9,336),
(296,47,352),
(297,30,540),
(298,38,621),
(299,37,398),
(300,11,666),
